[train-0/300] [acc-0.2677, loss-0.0578] [1189/4442]
[val-0/300] [acc-0.3647, loss-0.1064] [535/1467]
[train-1/300] [acc-0.4320, loss-0.0484] [1919/4442]
[val-1/300] [acc-0.4526, loss-0.0915] [664/1467]
[train-2/300] [acc-0.5095, loss-0.0415] [2263/4442]
[val-2/300] [acc-0.4772, loss-0.0854] [700/1467]
[train-3/300] [acc-0.5536, loss-0.0374] [2459/4442]
[val-3/300] [acc-0.5208, loss-0.0811] [764/1467]
[train-4/300] [acc-0.5937, loss-0.0341] [2637/4442]
[val-4/300] [acc-0.5310, loss-0.0791] [779/1467]
[train-5/300] [acc-0.6301, loss-0.0314] [2799/4442]
[val-5/300] [acc-0.5344, loss-0.0791] [784/1467]
[train-6/300] [acc-0.6578, loss-0.0290] [2922/4442]
[val-6/300] [acc-0.5440, loss-0.0774] [798/1467]
[train-7/300] [acc-0.6691, loss-0.0276] [2972/4442]
[val-7/300] [acc-0.5460, loss-0.0766] [801/1467]
[train-8/300] [acc-0.6893, loss-0.0261] [3062/4442]
[val-8/300] [acc-0.5590, loss-0.0785] [820/1467]
[train-9/300] [acc-0.6997, loss-0.0244] [3108/4442]
[val-9/300] [acc-0.5535, loss-0.0787] [812/1467]
[train-10/300] [acc-0.7253, loss-0.0231] [3222/4442]
[val-10/300] [acc-0.5706, loss-0.0782] [837/1467]
[train-11/300] [acc-0.7382, loss-0.0217] [3279/4442]
[val-11/300] [acc-0.5624, loss-0.0795] [825/1467]
[train-12/300] [acc-0.7659, loss-0.0197] [3402/4442]
[val-12/300] [acc-0.5528, loss-0.0803] [811/1467]
[train-13/300] [acc-0.7837, loss-0.0184] [3481/4442]
[val-13/300] [acc-0.5706, loss-0.0773] [837/1467]
[train-14/300] [acc-0.7927, loss-0.0178] [3521/4442]
[val-14/300] [acc-0.5692, loss-0.0791] [835/1467]
[train-15/300] [acc-0.7888, loss-0.0176] [3504/4442]
[val-15/300] [acc-0.5651, loss-0.0797] [829/1467]
[train-16/300] [acc-0.8021, loss-0.0170] [3563/4442]
[val-16/300] [acc-0.5760, loss-0.0794] [845/1467]
[train-17/300] [acc-0.8014, loss-0.0170] [3560/4442]
[val-17/300] [acc-0.5706, loss-0.0794] [837/1467]
[train-18/300] [acc-0.7990, loss-0.0170] [3549/4442]
[val-18/300] [acc-0.5671, loss-0.0786] [832/1467]
[train-19/300] [acc-0.8080, loss-0.0167] [3589/4442]
[val-19/300] [acc-0.5706, loss-0.0803] [837/1467]
[train-20/300] [acc-0.8176, loss-0.0162] [3632/4442]
[val-20/300] [acc-0.5760, loss-0.0806] [845/1467]
[train-21/300] [acc-0.8190, loss-0.0158] [3638/4442]
[val-21/300] [acc-0.5760, loss-0.0813] [845/1467]
[train-22/300] [acc-0.8206, loss-0.0156] [3645/4442]
[val-22/300] [acc-0.5821, loss-0.0793] [854/1467]
[train-23/300] [acc-0.8181, loss-0.0155] [3634/4442]
[val-23/300] [acc-0.5556, loss-0.0817] [815/1467]
[train-24/300] [acc-0.8235, loss-0.0153] [3658/4442]
[val-24/300] [acc-0.5876, loss-0.0808] [862/1467]
[train-25/300] [acc-0.8309, loss-0.0149] [3691/4442]
[val-25/300] [acc-0.5719, loss-0.0806] [839/1467]
[train-26/300] [acc-0.8262, loss-0.0151] [3670/4442]
[val-26/300] [acc-0.5740, loss-0.0785] [842/1467]
[train-27/300] [acc-0.8278, loss-0.0152] [3677/4442]
[val-27/300] [acc-0.5515, loss-0.0818] [809/1467]
[train-28/300] [acc-0.8269, loss-0.0147] [3673/4442]
[val-28/300] [acc-0.5631, loss-0.0826] [826/1467]
[train-29/300] [acc-0.8262, loss-0.0150] [3670/4442]
[val-29/300] [acc-0.5712, loss-0.0829] [838/1467]
[train-30/300] [acc-0.8282, loss-0.0151] [3679/4442]
[val-30/300] [acc-0.5637, loss-0.0822] [827/1467]
[train-31/300] [acc-0.8226, loss-0.0152] [3654/4442]
[val-31/300] [acc-0.5706, loss-0.0827] [837/1467]
[train-32/300] [acc-0.8309, loss-0.0150] [3691/4442]
[val-32/300] [acc-0.5801, loss-0.0823] [851/1467]
[train-33/300] [acc-0.8271, loss-0.0149] [3674/4442]
[val-33/300] [acc-0.5753, loss-0.0816] [844/1467]
